,Topic,Time,Document
17,0,17,"[21530, 21554, 21559, 21654, 21689, 21720, 21734, 21748, 21749, 21761, 21777, 21809, 21828, 21995, 22022]"
18,0,18,"[22193, 22243, 22363, 22439, 22444, 22459, 22465, 22467, 22483, 22508, 22564, 22571, 22604, 22660, 22838, 22886, 22945, 22957, 22966, 22983, 22987, 23053, 23061]"
19,0,19,"[23194, 23268, 23299, 23307, 23334, 23345, 23353, 23385, 23426, 23454, 23510, 23512, 23513, 23515, 23517, 23530, 23537, 23544, 23550, 23613, 23618, 23619, 23620, 23623, 23658, 23686]"
20,0,20,"[23818, 23858, 23886, 23899, 24116, 24151, 24167, 24200, 24253, 24280]"
21,0,21,"[24425, 24426, 24513, 24520, 24527, 24567, 24581, 24624, 24715, 24723, 24727, 24736, 24758, 24765, 24828, 24835, 24887, 24891]"
22,0,22,"[25132, 25233, 25234, 25240, 25242, 25307, 25322, 25339, 25363, 25365, 25409, 25411, 25412, 25414, 25420, 25490, 25524, 25534, 25554, 25623]"
23,0,23,"[25828, 25831, 25851, 25855, 25924, 26018, 26044, 26070, 26103, 26128, 26152, 26165, 26169, 26170, 26179, 26180, 26242]"
24,0,24,"[26357, 26368, 26379, 26384, 26401, 26412, 26431, 26436, 26449, 26452, 26465, 26482, 26489, 26556, 26576, 26638, 26708, 26737, 26782]"
25,0,25,"[26929, 26989, 27020, 27098, 27109, 27110, 27207, 27269, 27274, 27312, 27328]"
26,0,26,"[27524, 27547, 27600, 27630, 27632, 27634, 27662, 27713, 27722, 27723, 27750, 27842, 27871, 27880, 27913, 28002, 28027]"
27,0,27,"[28312, 28417, 28457, 28459, 28463, 28512, 28625, 28654]"
28,0,28,"[28779, 28787, 28800, 28887, 28946, 29031, 29043, 29111, 29144, 29190]"
29,0,29,"[29427, 29454, 29459, 29485, 29504, 29517, 29528, 29570, 29589, 29647, 29702, 29745, 29748, 29877]"
30,0,30,"[30010, 30073, 30099, 30121, 30167, 30195, 30360, 30361, 30366, 30372, 30407]"
31,0,31,"[30632, 30684, 30795, 31023, 31029, 31041]"
32,0,32,"[31260, 31268, 31300, 31335, 31426, 31438, 31462, 31467, 31491, 31548, 31556, 31581, 31617, 31644]"
33,0,33,"[31778, 31784, 31818, 31824, 31839, 31849, 31957, 32036, 32058, 32166, 32273, 32274, 32291]"
34,0,34,"[32416, 32482, 32492, 32536, 32618, 32623, 32690, 32708, 32860]"
35,0,35,"[33076, 33143, 33212, 33213, 33350, 33366, 33383, 33396, 33406, 33500, 33503]"
36,0,36,"[33703, 33726, 33762, 33783, 33927, 34113, 34140, 34141]"
37,0,37,"[34292, 34444, 34525, 34574, 34576, 34721, 34742, 34776]"
38,0,38,"[34903, 34910, 34956, 35119, 35147, 35149, 35200, 35227, 35279, 35310, 35311, 35324, 35325, 35345, 35347, 35366, 35382]"
39,0,39,[35647]
40,1,0,[]
41,1,1,"[49, 60, 69, 108, 112, 125, 179, 246, 256, 257, 301, 317, 350, 387, 399, 442, 450, 522, 622, 656, 659, 663, 670, 671, 685, 687, 742, 778, 786, 788, 789, 813, 883, 890, 896, 909, 920, 931, 943, 949, 950, 976, 998, 1025, 1042, 1059, 1064, 1116, 1124, 1178, 1182, 1228, 1244, 1293, 1330, 1349, 1367, 1386, 1394, 1399, 1402, 1413, 1416, 1447, 1455, 1461, 1490, 1496, 1517, 1525, 1526, 1530, 1538, 1560, 1563, 1579, 1613, 1629, 1649, 1668, 1676, 1683, 1721, 1730, 1755, 1756, 1764, 1777, 1783, 1784, 1811, 1826, 1840, 1874, 1886, 1943, 2001, 2055, 2074, 2097, 2112, 2116, 2132, 2133, 2149, 2163, 2222, 2270, 2291, 2295, 2300, 2305, 2320, 2328, 2358, 2359, 2379, 2389, 2405, 2437, 2442, 2444, 2448, 2453, 2475, 2476, 2478, 2487, 2512, 2553, 2595, 2650, 2651, 2662, 2663, 2802, 2831, 2848, 2877, 2881, 2901, 2965, 2975, 3071, 3116, 3121, 3138, 3167, 3176, 3214, 3292, 3327, 3414, 3437, 3441, 3458, 3500, 3525, 3539, 3548, 3559, 3568, 3586, 3608, 3721, 3832, 3833, 3840, 3871, 3931, 3939, 3984, 3997, 4001, 4002, 4029, 4038, 4040, 4055, 4090, 4192, 4200, 4202, 4207, 4235, 4242, 4277, 4297, 4303, 4338, 4357, 4379, 4387, 4412, 4415, 4428, 4459, 4466, 4467, 4509, 4532, 4540, 4545, 4556, 4559, 4571, 4596, 4612, 4675, 4679, 4680, 4691, 4695, 4707, 4710, 4725, 4739, 4752, 4776, 4791, 4817, 4819, 4840, 4855, 4862, 4867, 4887, 4954, 5006, 5045, 5059, 5090, 5091, 5102, 5114, 5129, 5158, 5163, 5166, 5167, 5170, 5202, 5210, 5211, 5212, 5227, 5237, 5239, 5269, 5274, 5320, 5349, 5377, 5435, 5468, 5486, 5488, 5489, 5490, 5544, 5565, 5582, 5624, 5641, 5649, 5654, 5655, 5665, 5713, 5736, 5771, 5781, 5782, 5793, 5797, 5817, 5839, 5840, 5896, 5937, 5942, 5977, 6013, 6040, 6067, 6107, 6139, 6142, 6160, 6173, 6176, 6195, 6219, 6258, 6261, 6334, 6336, 6380, 6389, 6420, 6421, 6433, 6437, 6581, 6583, 6605, 6632, 6645, 6648, 6707, 6715, 6734, 6752, 6775, 6778, 6785, 6833, 6840, 6905, 6973, 6975, 7006, 7027, 7030, 7058, 7071, 7075, 7077, 7078, 7104, 7129, 7169, 7185, 7192, 7223, 7225, 7237, 7245, 7252, 7256, 7258, 7260, 7272, 7314, 7365, 7412, 7417, 7451, 7452, 7464, 7485, 7495, 7516, 7518, 7525, 7529, 7571, 7574, 7597, 7618, 7632, 7675, 7693, 7696]"
42,1,2,"[9303, 9317, 9321, 9334, 9371, 9379, 9388, 9395, 9417, 9429, 9458, 9479, 9502, 9514, 9580, 9599, 9600, 9601, 9638, 9672, 9691, 9692, 9703, 9733, 9763, 9807, 9816, 9819, 9842, 9853, 9902, 9954, 9956, 10044, 10119, 10135, 10136, 10137, 10181, 10192, 10208, 10242, 10245, 10248, 10249, 10256, 10310, 10332, 10335, 10340, 10342, 10383, 10397, 10441, 10465, 10469, 10470, 10485, 10539, 10607, 10633, 10635, 10646, 10657, 10662, 10670, 10714, 10724, 10756, 10758, 10763, 10798, 10808, 10813, 10825, 10880, 10974, 10997, 11000, 11023, 11073, 11117, 11133, 11169, 11184, 11185, 11223, 11243, 11295, 11310, 11318, 11343, 11372, 11385, 11407, 11410, 11412, 11425, 11428, 11429, 11443, 11466, 11467, 11487]"
43,1,3,"[11616, 11623, 11630, 11632, 11638, 11644, 11690, 11694, 11709, 11711, 11751, 11768, 11824, 11845, 11855, 11858, 11859, 11888, 11897, 11900, 11920, 11946, 11962, 11970, 11979, 11987]"
44,1,4,"[12219, 12224, 12239, 12252, 12261, 12262, 12280, 12285, 12289, 12293, 12294, 12308, 12316, 12320, 12338, 12356, 12379, 12412, 12463, 12495, 12497, 12500, 12568, 12574, 12578]"
45,1,5,"[12845, 12875, 12877, 12890, 12945, 12951, 12961, 12964, 12976, 12984, 12989, 12994, 13006, 13017, 13026, 13027, 13030, 13039, 13045, 13049, 13057, 13059, 13062, 13065, 13077, 13085, 13114, 13123, 13145, 13146, 13168, 13202, 13230, 13257, 13260, 13281]"
46,1,6,"[13415, 13427, 13441, 13448, 13462, 13477, 13535, 13564, 13567, 13584, 13591, 13598, 13618, 13645, 13648, 13674, 13695, 13703, 13705, 13707, 13726, 13729, 13731, 13732, 13746, 13750, 13770, 13799, 13808, 13813, 13822, 13823, 13828, 13860, 13864, 13876, 13885]"
47,1,7,"[14012, 14121, 14160, 14163, 14190, 14198, 14222, 14228, 14239, 14271, 14287, 14335, 14346, 14370, 14416, 14434, 14439, 14489]"
48,1,8,"[14623, 14647, 14729, 14748, 14759, 14849, 14893, 14958, 15009, 15012, 15028, 15031, 15059, 15060, 15061, 15062, 15072, 15076, 15096]"
49,1,9,"[15234, 15241, 15337, 15338, 15354, 15369, 15389, 15438, 15462, 15463, 15471, 15488, 15571, 15641, 15668, 15686]"
50,1,10,"[16022, 16044, 16059, 16120, 16121, 16128, 16142, 16162, 16172, 16191, 16225, 16232, 16254, 16269, 16275, 16292, 16304, 16330, 16335, 16341, 16358, 16362, 16381, 16382, 16397, 16412, 16413, 16423, 16474, 16525, 16527, 16532, 16544, 16577, 16580, 16582, 16608, 16615, 16623, 16631, 16635, 16636, 16654, 16664, 16669, 16688, 16689, 16706, 16713, 16717, 16732, 16753]"
51,1,11,"[16905, 16916, 16970, 16984, 17040, 17072, 17099, 17141, 17146, 17164, 17168, 17223, 17236, 17251, 17257, 17280, 17288, 17293, 17299, 17320, 17343, 17408, 17412]"
52,1,12,"[17560, 17588, 17607, 17616, 17623, 17640, 17643, 17690, 17732, 17752, 17756, 17773, 17780, 17783, 17786, 17801, 17809, 17831, 17847, 17855]"
53,1,13,"[18113, 18114, 18116, 18142, 18201, 18293, 18294, 18310, 18318, 18320, 18343, 18345, 18359, 18361, 18392, 18485, 18494, 18496, 18506, 18508, 18533]"
54,1,14,"[18691, 18702, 18711, 18717, 18731, 18732, 18739, 18752, 18762, 18768, 18782, 18788, 18799, 18819, 18826, 18837, 18838, 18843, 18856, 18861, 18870, 18880, 18882, 18891, 18900, 18915, 18926, 18941, 19046, 19048, 19065, 19073, 19079, 19083, 19084, 19085, 19106, 19111, 19130, 19201, 19231, 19260, 19269, 19283, 19284, 19342, 19343, 19345, 19360, 19403, 19433, 19440, 19441, 19450, 19477, 19485, 19503, 19519, 19553, 19560, 19564, 19572, 19578, 19579, 19580, 19588, 19599, 19635, 19668, 19669, 19702, 19707, 19727, 19728, 19751, 19761, 19796, 19830, 19832, 19852]"
55,1,15,"[20136, 20137, 20138, 20174, 20232, 20235, 20239, 20295, 20307, 20322, 20344, 20503, 20516, 20601, 20616, 20620, 20678, 20701, 20738, 20756]"
56,1,16,"[20889, 20892, 20964, 20994, 21001, 21043, 21046, 21059, 21070, 21098, 21148, 21223, 21273, 21295, 21331]"
57,1,17,"[21463, 21464, 21466, 21477, 21484, 21486, 21524, 21549, 21584, 21600, 21620, 21668, 21754, 21756, 21769, 21793, 21795, 21796, 21811, 21835, 21924, 21925, 21929, 21930, 21962, 21981, 22021, 22066]"
58,1,18,"[22213, 22295, 22310, 22327, 22338, 22375, 22395, 22425, 22455, 22518, 22534, 22535, 22539, 22562, 22563, 22567, 22572, 22591, 22614, 22678, 22763, 22766, 22771, 22854, 22907, 22911, 22914, 22988, 23001, 23009, 23059, 23063]"
59,1,19,"[23190, 23191, 23273, 23277, 23279, 23281, 23287, 23298, 23314, 23317, 23323, 23331, 23352, 23397, 23543, 23548, 23601, 23630, 23636, 23651]"
60,1,20,"[23802, 23804, 23829, 23865, 23872, 23876, 23884, 23888, 23891, 23907, 23940, 23954, 23961, 23984, 23999, 24001, 24014, 24015, 24031, 24039, 24048, 24056, 24069, 24071, 24090, 24121, 24134, 24162, 24178, 24194, 24221, 24236, 24239, 24241, 24243, 24270, 24293, 24302]"
61,1,21,"[24407, 24428, 24433, 24435, 24437, 24440, 24441, 24455, 24458, 24460, 24473, 24478, 24486, 24491, 24492, 24537, 24538, 24564, 24619, 24684, 24690, 24701, 24710, 24721, 24774, 24794, 24806, 24811, 24824, 24841, 24860, 24862, 24890]"
62,1,22,"[25115, 25116, 25119, 25159, 25168, 25176, 25194, 25227, 25236, 25241, 25243, 25269, 25277, 25286, 25312, 25338, 25345, 25352, 25367, 25379, 25415, 25424, 25435, 25445, 25493, 25508, 25526, 25529, 25531, 25537, 25575, 25584]"
63,1,23,"[25766, 25827, 25876, 25884, 25958, 25977, 25978, 25997, 26030, 26073, 26083, 26084, 26092, 26112, 26113, 26127, 26153, 26160, 26224, 26241]"
64,1,24,"[26385, 26396, 26446, 26457, 26491, 26500, 26516, 26528, 26542, 26652, 26716, 26717, 26745, 26755, 26774]"
65,1,25,"[26942, 26966, 27001, 27018, 27027, 27030, 27053, 27068, 27100, 27101, 27117, 27127, 27145, 27147, 27148, 27162, 27180, 27182, 27185, 27193, 27195, 27211, 27212, 27213, 27215, 27286, 27310, 27330, 27394]"
66,1,26,"[27554, 27586, 27742, 27743, 27746, 27797, 27838, 27907, 27927, 27932, 27954, 27974, 27990, 28016, 28046]"
67,1,27,"[28164, 28168, 28189, 28199, 28223, 28228, 28239, 28332, 28403, 28404, 28407, 28460, 28488, 28509, 28527, 28528, 28530, 28546, 28550, 28564, 28568, 28571, 28577, 28639, 28645]"
68,1,28,"[28775, 28777, 28782, 28802, 28814, 28815, 28836, 28840, 28851, 28852, 28856, 28906, 28907, 28908, 28938, 28949, 29004, 29042, 29044, 29073, 29221, 29237, 29242, 29246]"
69,1,29,"[29379, 29466, 29502, 29518, 29532, 29535, 29555, 29566, 29673, 29688, 29697, 29731, 29764, 29768, 29781, 29784, 29786, 29799, 29832, 29860]"
70,1,30,"[30014, 30044, 30052, 30063, 30078, 30097, 30120, 30178, 30199, 30222, 30240, 30243, 30250, 30278, 30290, 30303, 30310, 30324, 30335, 30349, 30385]"
71,1,31,"[30654, 30665, 30681, 30685, 30688, 30792, 30916, 30928, 30940, 31015]"
72,1,32,"[31179, 31183, 31187, 31216, 31217, 31257, 31271, 31272, 31293, 31304, 31317, 31332, 31349, 31497, 31574, 31624, 31648]"
73,1,33,"[31780, 31785, 31788, 31789, 31806, 31808, 31811, 31813, 31815, 31820, 31829, 31831, 31838, 31862, 31864, 31925, 31938, 31962, 32013, 32016, 32037, 32048, 32056, 32103, 32115, 32123, 32126, 32127, 32128, 32129, 32186, 32279, 32283]"
74,1,34,"[32411, 32414, 32417, 32478, 32504, 32516, 32528, 32529, 32612, 32621, 32642, 32741, 32752, 32798, 32803, 32838, 32847, 32868, 32882, 32918]"
75,1,35,"[33099, 33149, 33173, 33244, 33264, 33267, 33270, 33275, 33328, 33329, 33368, 33370, 33451, 33471, 33498, 33509, 33550, 33564, 33569, 33570]"
76,1,36,"[33788, 33830, 33832, 33882, 33963, 34058, 34060, 34132, 34136]"
77,1,37,"[34430, 34440, 34447, 34486, 34508, 34582, 34786, 34791]"
