,Topic,Time,Document
233,5,33,"[31825, 31898, 31966, 32010, 32039, 32090, 32101, 32144, 32152, 32207]"
234,5,34,"[32429, 32479, 32518, 32580, 32633, 32697, 32825]"
235,5,35,"[33102, 33165, 33278, 33357, 33358, 33389, 33402, 33521]"
236,5,36,"[33774, 33835, 33841, 33844, 33982, 34045, 34046, 34086, 34127]"
237,5,37,"[34302, 34338, 34349, 34355, 34382, 34419, 34420, 34563, 34580, 34774]"
238,5,38,"[34925, 34954, 34964, 34996, 34997, 35019, 35107, 35127, 35153, 35230, 35254, 35260, 35336, 35346, 35361, 35402]"
239,5,39,"[35577, 35578, 35620, 35633]"
240,6,0,[]
241,6,1,"[12, 17, 67, 157, 165, 178, 213, 247, 326, 425, 457, 534, 649, 681, 702, 705, 719, 734, 776, 836, 842, 867, 910, 939, 953, 954, 981, 1018, 1044, 1045, 1061, 1131, 1161, 1167, 1216, 1257, 1279, 1356, 1385, 1463, 1550, 1552, 1557, 1567, 1596, 1614, 1630, 1657, 1663, 1671, 1742, 1906, 1923, 2022, 2033, 2077, 2143, 2213, 2231, 2248, 2257, 2261, 2278, 2296, 2324, 2354, 2367, 2383, 2420, 2436, 2459, 2508, 2529, 2530, 2555, 2593, 2618, 2646, 2654, 2676, 2684, 2691, 2706, 2741, 2880, 2885, 2886, 2887, 3003, 3007, 3028, 3100, 3133, 3137, 3168, 3169, 3170, 3171, 3172, 3174, 3220, 3244, 3272, 3289, 3365, 3368, 3408, 3433, 3527, 3601, 3622, 3698, 3737, 3867, 3873, 3908, 3968, 3989, 3992, 3996, 4016, 4044, 4054, 4083, 4123, 4124, 4160, 4164, 4168, 4201, 4220, 4221, 4288, 4304, 4317, 4336, 4353, 4364, 4437, 4493, 4496, 4497, 4576, 4588, 4594, 4607, 4624, 4648, 4729, 4761, 4792, 4838, 4873, 4939, 5002, 5012, 5025, 5042, 5060, 5065, 5082, 5093, 5096, 5097, 5106, 5121, 5125, 5130, 5138, 5139, 5153, 5155, 5161, 5173, 5186, 5195, 5213, 5214, 5226, 5232, 5247, 5250, 5253, 5254, 5259, 5265, 5277, 5278, 5286, 5291, 5312, 5319, 5322, 5326, 5329, 5330, 5334, 5336, 5343, 5370, 5496, 5521, 5554, 5643, 5659, 5768, 5799, 5855, 5876, 5907, 5946, 5966, 5973, 6007, 6060, 6094, 6214, 6227, 6243, 6251, 6265, 6272, 6280, 6301, 6309, 6315, 6323, 6327, 6361, 6384, 6385, 6394, 6402, 6429, 6449, 6457, 6475, 6510, 6557, 6561, 6629, 6669, 6671, 6750, 6754, 6818, 6837, 6842, 6848, 6887, 6895, 6898, 6900, 6993, 7037, 7044, 7049, 7122, 7147, 7180, 7182, 7211, 7254, 7277, 7278, 7319, 7337, 7383, 7409, 7453, 7592, 7609, 7649, 7650, 7658, 7682, 7685, 7691]"
242,6,2,"[9324, 9370, 9380, 9422, 9463, 9546, 9554, 9705, 9731, 9741, 9743, 9745, 9778, 9783, 9784, 9786, 9835, 9841, 9889, 9924, 9929, 9936, 9962, 9965, 9987, 9996, 10048, 10052, 10103, 10130, 10205, 10258, 10289, 10297, 10410, 10451, 10467, 10478, 10544, 10551, 10582, 10587, 10666, 10696, 10697, 10777, 10792, 10794, 10830, 10834, 10856, 10861, 10913, 10915, 10927, 10933, 10934, 10943, 10960, 10961, 10968, 10972, 10976, 10990, 11022, 11027, 11038, 11046, 11051, 11065, 11106, 11145, 11148, 11219, 11221, 11234, 11238, 11268, 11289, 11294, 11330, 11345, 11356, 11357, 11367, 11376, 11403, 11446, 11451, 11455]"
243,6,3,"[11597, 11615, 11617, 11636, 11645, 11666, 11688, 11738, 11745, 11781, 11792, 11833, 11851, 11873, 11910, 11944, 11948, 11971, 11980, 12008, 12088]"
244,6,4,"[12211, 12250, 12251, 12263, 12265, 12331, 12383, 12413, 12449, 12450, 12476, 12482, 12483, 12588, 12593, 12595, 12598]"
245,6,5,"[12810, 12814, 12825, 12830, 12839, 12843, 12850, 12876, 12878, 12884, 12896, 12918, 12933, 12990, 13038, 13044, 13056, 13099, 13122, 13124, 13127, 13128, 13133, 13144, 13189, 13206, 13207, 13237, 13252, 13271, 13277]"
246,6,6,"[13434, 13471, 13475, 13484, 13589, 13606, 13633, 13653, 13672, 13716, 13727, 13748, 13751, 13760, 13839, 13856]"
247,6,7,"[14013, 14040, 14063, 14065, 14129, 14130, 14156, 14171, 14297, 14307, 14324, 14326, 14375, 14409, 14480]"
248,6,8,"[14601, 14619, 14624, 14656, 14702, 14737, 14743, 14816, 14885, 14930, 14932, 14938, 14939, 14985, 15051, 15069]"
249,6,9,"[15232, 15243, 15254, 15318, 15323, 15331, 15454, 15457, 15472, 15473, 15483, 15484, 15500, 15521, 15589, 15592, 15593, 15596, 15607, 15608, 15609, 15610, 15626, 15650, 15654, 15667, 15669, 15672, 15696, 15702, 15704, 15758, 15762]"
250,6,10,"[16114, 16132, 16146, 16199, 16231, 16248, 16263, 16280, 16322, 16342, 16384, 16405, 16418, 16446, 16450, 16475, 16501, 16567, 16610, 16682, 16685, 16733, 16741]"
251,6,11,"[16910, 17001, 17026, 17036, 17053, 17069, 17197, 17304, 17377, 17398]"
252,6,12,"[17552, 17617, 17622, 17655, 17675, 17718, 17742, 17768, 17836, 17865]"
253,6,13,"[18092, 18131, 18150, 18166, 18185, 18207, 18229, 18235, 18267, 18287, 18296, 18332, 18397, 18520, 18535, 18548]"
254,6,14,"[18737, 18758, 18759, 18922, 18952, 18977, 19069, 19082, 19090, 19098, 19104, 19109, 19137, 19190, 19196, 19200, 19203, 19248, 19289, 19362, 19396, 19397, 19480, 19514, 19516, 19545, 19555, 19583, 19592, 19595, 19602, 19605, 19632, 19647, 19670, 19673, 19676, 19681, 19716, 19717, 19750, 19804, 19825, 19850, 19901]"
255,6,15,"[20142, 20143, 20158, 20169, 20172, 20178, 20187, 20193, 20196, 20203, 20204, 20208, 20218, 20221, 20231, 20261, 20291, 20304, 20321, 20323, 20359, 20406, 20407, 20431, 20442, 20505, 20513, 20579, 20596, 20648, 20659, 20669, 20674, 20683, 20689, 20699, 20704, 20707, 20708, 20714, 20724, 20739, 20752, 20753, 20757]"
256,6,16,"[20891, 20922, 20932, 20937, 20938, 20941, 20945, 20962, 20998, 21011, 21021, 21067, 21079, 21081, 21082, 21097, 21121, 21156, 21176, 21242, 21250, 21262, 21301, 21312]"
257,6,17,"[21479, 21483, 21494, 21504, 21523, 21526, 21529, 21548, 21558, 21583, 21615, 21616, 21623, 21643, 21682, 21714, 21719, 21765, 21781, 21788, 21816, 21818, 21819, 21831, 21834, 21858, 21873, 21876, 21882, 21916, 21931, 21932, 21965, 21973, 21989, 22032, 22053, 22055]"
258,6,18,"[22183, 22191, 22201, 22216, 22220, 22224, 22250, 22264, 22281, 22283, 22284, 22289, 22294, 22348, 22353, 22372, 22421, 22426, 22453, 22488, 22502, 22506, 22510, 22512, 22514, 22528, 22532, 22538, 22552, 22640, 22645, 22649, 22691, 22707, 22782, 22855, 22876, 22883, 22978, 22993, 23011, 23028, 23051, 23062, 23064]"
259,6,19,"[23222, 23223, 23230, 23240, 23342, 23410, 23461, 23506, 23528, 23611, 23633, 23670, 23699]"
260,6,20,"[23820, 23851, 23902, 23956, 24019, 24104, 24210, 24226, 24286]"
261,6,21,"[24499, 24522, 24543, 24544, 24545, 24595, 24596, 24602, 24627, 24636, 24642, 24652, 24696, 24699, 24708, 24714, 24770, 24804, 24812, 24833, 24856, 24875]"
262,6,22,"[25144, 25148, 25151, 25157, 25162, 25178, 25187, 25206, 25229, 25230, 25231, 25247, 25265, 25267, 25276, 25278, 25300, 25329, 25332, 25385, 25401, 25453, 25460, 25525, 25538, 25558, 25559, 25560]"
263,6,23,"[25755, 25788, 25816, 25860, 25866, 25867, 25868, 25887, 25976, 26026, 26033, 26052, 26057, 26064, 26065, 26097, 26098, 26099, 26173, 26175, 26247]"
264,6,24,"[26369, 26374, 26399, 26462, 26467, 26499, 26541, 26559, 26560, 26692, 26777]"
265,6,25,"[26927, 27000, 27026, 27118, 27142, 27204, 27205, 27209, 27229, 27236, 27273, 27276, 27290, 27344, 27347, 27408]"
266,6,26,"[27609, 27616, 27648, 27650, 27757, 27813, 27825, 27839, 27866, 27920, 27933, 27940, 27998]"
267,6,27,"[28210, 28254, 28255, 28282, 28283, 28308, 28390, 28396, 28448, 28449, 28514, 28525, 28543, 28555, 28651]"
268,6,28,"[28879, 28882, 28900, 28903, 28911, 28915, 28917, 28918, 28932, 29027, 29049, 29066, 29163, 29165]"
269,6,29,"[29385, 29579, 29586, 29648, 29717, 29754, 29762, 29773, 29787, 29796, 29814, 29817, 29825, 29838, 29846]"
270,6,30,"[30015, 30033, 30068, 30082, 30083, 30084, 30102, 30127, 30130, 30142, 30145, 30176, 30292, 30388, 30391, 30395, 30398, 30399, 30403, 30410]"
271,6,31,"[30686, 30770, 30800, 30826, 30827, 30859, 30899, 30926, 30937, 30972, 30973, 30982, 31003, 31005, 31019, 31027, 31031, 31039]"
272,6,32,"[31169, 31181, 31196, 31210, 31211, 31252, 31281, 31333, 31340, 31391, 31433, 31593, 31619, 31625, 31637]"
273,6,33,"[31836, 31950, 32074, 32080, 32083, 32084, 32095, 32120, 32181, 32195]"
274,6,34,"[32499, 32513, 32519, 32595, 32627, 32836, 32852, 32853]"
275,6,35,"[33069, 33107, 33150, 33185, 33191, 33248, 33251, 33252, 33265, 33298, 33379, 33463, 33467]"
276,6,36,"[33716, 33843, 34012]"
277,6,37,"[34287, 34320, 34352, 34396, 34408, 34501, 34538, 34637, 34704, 34711, 34722, 34767, 34778, 34779, 34781]"
278,6,38,"[34937, 34938, 34943, 34947, 34962, 34968, 34971, 34972, 34981, 34991, 35004, 35045, 35058, 35092, 35093, 35110, 35165, 35262, 35275, 35283, 35353, 35360, 35365, 35391, 35392]"
279,6,39,"[35496, 35502, 35514, 35531, 35592, 35665]"
280,7,0,[]
281,7,1,"[2, 40, 72, 77, 115, 177, 203, 211, 267, 272, 277, 278, 300, 304, 356, 440, 446, 487, 502, 509, 567, 581, 616, 675, 737, 770, 807, 853, 944, 955, 973, 983, 1016, 1047, 1048, 1051, 1073, 1082, 1096, 1111, 1212, 1214, 1247, 1277, 1278, 1280, 1290, 1347, 1378, 1441, 1482, 1483, 1487, 1491, 1603, 1620, 1623, 1645, 1664, 1672, 1695, 1732, 1741, 1751, 1765, 1779, 1789, 1799, 1838, 1852, 1857, 1865, 1907, 1965, 1979, 1989, 2027, 2051, 2053, 2054, 2069, 2079, 2105, 2115, 2134, 2139, 2140, 2228, 2267, 2293, 2335, 2491, 2497, 2505, 2552, 2617, 2636, 2653, 2678, 2698, 2700, 2708, 2719, 2752, 2796, 2826, 2897, 2913, 2914, 2951, 2953, 3063, 3078, 3106, 3135, 3146, 3154, 3155, 3183, 3199, 3224, 3295, 3314, 3346, 3387, 3438, 3452, 3503, 3587, 3593, 3616, 3624, 3645, 3648, 3668, 3695, 3710, 3738, 3817, 3881, 3905, 3906, 3912, 3932, 3986, 3994, 4009, 4039, 4061, 4118, 4178, 4205, 4218, 4226, 4280, 4294, 4314, 4328, 4361, 4404, 4413, 4485, 4564, 4627, 4637, 4643, 4652, 4669, 4712, 4783, 4828, 4845, 4859, 4902, 4982, 5105, 5120, 5132, 5147, 5342, 5381, 5413, 5427, 5452, 5528, 5533, 5578, 5587, 5671, 5687, 5703, 5715, 5728, 5745, 5770, 5786, 5788, 5800, 5804, 5813, 5814, 5901, 5908, 5927, 5928, 5947, 5974, 5980, 6014, 6015, 6019, 6028, 6071, 6074, 6091, 6097, 6123, 6125, 6145, 6152, 6163, 6205, 6211, 6212, 6228, 6250, 6277, 6282, 6292, 6306, 6369, 6375, 6382, 6392, 6411, 6412, 6413, 6452, 6473, 6474, 6494, 6513, 6525, 6528, 6541, 6549, 6567, 6578, 6579, 6582, 6593, 6600, 6604, 6608, 6655, 6665, 6667, 6689, 6700, 6743, 6748, 6776, 6792, 6819, 6854, 6865, 6866, 6872, 6938, 6945, 6960, 6961, 6994, 7009, 7025, 7060, 7113, 7124, 7128, 7149, 7207, 7210, 7217, 7218, 7224, 7234, 7274, 7315, 7349, 7389, 7393, 7441, 7450, 7488, 7517, 7561, 7569, 7575, 7585, 7601, 7612, 7640, 7661, 7679, 7683, 7688]"
282,7,2,"[9300, 9306, 9309, 9325, 9357, 9385, 9387, 9390, 9411, 9414, 9421, 9432, 9462, 9467, 9473, 9484, 9508, 9519, 9534, 9565, 9577, 9606, 9669, 9689, 9718, 9725, 9762, 9795, 9813, 9836, 9838, 9856, 9861, 9863, 9865, 9907, 9908, 9917, 9944, 9989, 10038, 10075, 10091, 10125, 10126, 10227, 10254, 10294, 10328, 10361, 10365, 10380, 10487, 10490, 10553, 10588, 10640, 10653, 10687, 10688, 10689, 10710, 10782, 10837, 10893, 10894, 10896, 10906, 10929, 10932, 10971, 10975, 11016, 11026, 11040, 11069, 11087, 11140, 11149, 11200, 11205, 11254, 11296, 11308, 11315, 11323, 11324, 11353, 11355, 11417, 11434, 11463]"
283,7,3,"[11619, 11622, 11640, 11664, 11699, 11707, 11756, 11771, 11805, 11909, 11934, 11955, 11972, 11999, 12009, 12015, 12035, 12037, 12039, 12051, 12063, 12078, 12087]"
284,7,4,"[12217, 12226, 12227, 12259, 12272, 12287, 12378, 12392, 12407, 12439, 12461, 12469, 12505, 12509, 12510, 12513, 12543, 12546, 12556, 12566, 12597, 12606, 12607, 12611, 12678]"
285,7,5,"[12807, 12827, 12834, 12835, 12841, 12848, 12854, 12858, 12869, 12916, 12929, 13018, 13064, 13079, 13098, 13100, 13103, 13104, 13106, 13107, 13134, 13138, 13147, 13148, 13156, 13217]"
286,7,6,"[13420, 13445, 13452, 13530, 13560, 13587, 13593, 13610, 13615, 13631, 13632, 13652, 13660, 13678, 13679, 13687, 13693, 13694, 13757, 13779, 13781, 13786, 13791, 13794, 13831, 13843, 13851, 13858, 13884]"
287,7,7,"[13994, 14002, 14016, 14021, 14022, 14041, 14045, 14046, 14061, 14068, 14070, 14102, 14138, 14175, 14203, 14213, 14233, 14255, 14288, 14333, 14377, 14398, 14415, 14438, 14479, 14493]"
288,7,8,"[14635, 14637, 14638, 14658, 14662, 14669, 14689, 14696, 14700, 14719, 14720, 14721, 14725, 14741, 14742, 14745, 14782, 14787, 14789, 14828, 14839, 14853, 14857, 14868, 14874, 14880, 14889, 14895, 14897, 14911, 14928, 14949, 14967, 14970, 14993, 15027, 15036, 15075]"
289,7,9,"[15201, 15203, 15204, 15211, 15218, 15224, 15244, 15253, 15274, 15280, 15286, 15305, 15332, 15334, 15365, 15477, 15480, 15519, 15526, 15528, 15551, 15565, 15576, 15614, 15652, 15653, 15700, 15779]"
290,7,10,"[16057, 16081, 16186, 16193, 16205, 16311, 16331, 16343, 16351, 16352, 16357, 16407, 16414, 16435, 16438, 16515, 16516, 16540, 16560, 16569, 16605, 16616, 16618, 16630, 16668, 16675, 16681, 16775]"
291,7,11,"[16919, 16979, 17025, 17028, 17042, 17048, 17058, 17079, 17108, 17111, 17113, 17151, 17154, 17231, 17243, 17260, 17266, 17276, 17277, 17303, 17306, 17315, 17318, 17403, 17418]"
292,7,12,"[17569, 17587, 17612, 17658, 17728, 17729, 17738, 17782, 17789, 17792, 17797, 17837, 17840, 17843, 17853, 17858]"
293,7,13,"[18034, 18037, 18051, 18053, 18077, 18078, 18083, 18112, 18124, 18130, 18137, 18143, 18158, 18164, 18173, 18183, 18188, 18262, 18285, 18286, 18382, 18409, 18447, 18448, 18552]"
294,7,14,"[18705, 18733, 18749, 18779, 18866, 18898, 18909, 18968, 18979, 18987, 19219, 19235, 19236, 19271, 19281, 19292, 19315, 19329, 19361, 19387, 19412, 19416, 19431, 19434, 19448, 19464, 19465, 19508, 19527, 19538, 19547, 19562, 19612, 19617, 19686, 19764, 19812, 19893, 19896, 19904]"
295,7,15,"[20164, 20166, 20202, 20225, 20278, 20281, 20290, 20306, 20337, 20338, 20353, 20385, 20420, 20422, 20443, 20474, 20555, 20556, 20559, 20569, 20612, 20660, 20677, 20687, 20698, 20717, 20729]"
296,7,16,"[20906, 20912, 21002, 21008, 21029, 21052, 21077, 21078, 21104, 21125, 21127, 21138, 21142, 21146, 21188, 21299, 21334]"
297,7,17,"[21532, 21553, 21564, 21574, 21593, 21633, 21657, 21695, 21727, 21728, 21744, 21745, 21786, 21798, 21802, 21825, 21960, 21984, 21991, 22043]"
298,7,18,"[22197, 22272, 22299, 22320, 22323, 22333, 22358, 22387, 22409, 22473, 22479, 22489, 22530, 22556, 22597, 22616, 22618, 22647, 22652, 22719, 22749, 22784, 22803, 22839, 22846, 22852, 22867, 22912, 22951, 22965, 22980, 22982, 23043]"
299,7,19,"[23209, 23212, 23213, 23220, 23221, 23231, 23246, 23251, 23269, 23326, 23332, 23341, 23346, 23355, 23364, 23368, 23369, 23372, 23373, 23376, 23380, 23417, 23421, 23438, 23451, 23458, 23462, 23463, 23465, 23497, 23602, 23637, 23638, 23646, 23649, 23655, 23656, 23673, 23683, 23684, 23691]"
300,7,20,"[23803, 23810, 23811, 23813, 23815, 23823, 23826, 23833, 23842, 23844, 23845, 23849, 23853, 23856, 23868, 23883, 23900, 23904, 23905, 23917, 23918, 23921, 23922, 23935, 23936, 23937, 23938, 23943, 23957, 23964, 23967, 23968, 23976, 23979, 23995, 23998, 24002, 24003, 24018, 24024, 24028, 24032, 24033, 24034, 24049, 24050, 24051, 24055, 24057, 24062, 24063, 24066, 24068, 24070, 24081, 24082, 24092, 24103, 24109, 24123, 24129, 24133, 24135, 24138, 24154, 24155, 24158, 24160, 24170, 24175, 24177, 24197, 24198, 24201, 24202, 24235, 24238, 24240, 24242, 24244, 24246, 24249, 24268, 24269, 24271, 24272, 24274, 24296]"
301,7,21,"[24411, 24413, 24415, 24417, 24432, 24462, 24479, 24480, 24481, 24484, 24490, 24502, 24508, 24572, 24573, 24574, 24575, 24588, 24620, 24645, 24663, 24664, 24703, 24713, 24716, 24724, 24725, 24738, 24744, 24861, 24896]"
302,7,22,"[25152, 25188, 25220, 25226, 25272, 25288, 25314, 25344, 25349, 25362, 25371, 25389, 25436, 25438, 25455, 25481, 25494, 25495, 25520, 25533, 25543, 25622]"
303,7,23,"[25745, 25780, 25801, 25806, 25834, 25850, 25861, 25878, 25881, 25890, 25895, 25926, 25928, 25929, 25936, 25941, 25963, 25974, 26028, 26067, 26086, 26114, 26116, 26119, 26122, 26140, 26183, 26187, 26190, 26192, 26194, 26215]"
304,7,24,"[26394, 26411, 26459, 26460, 26475, 26485, 26490, 26502, 26534, 26664, 26667, 26671, 26683, 26690, 26713, 26723, 26732, 26751, 26757, 26772, 26785, 26791, 26794, 26799]"
305,7,25,"[26910, 26914, 26940, 26961, 26993, 26994, 27011, 27019, 27032, 27043, 27112, 27113, 27157, 27179, 27222, 27233, 27341, 27345, 27376]"
306,7,26,"[27525, 27540, 27542, 27543, 27620, 27654, 27667, 27795, 27882, 27948, 27979, 27985]"
307,7,27,"[28169, 28175, 28176, 28181, 28217, 28247, 28314, 28315, 28317, 28318, 28319, 28320, 28361, 28367, 28374, 28405, 28412, 28413, 28420, 28467, 28477, 28508, 28542, 28557, 28567, 28649, 28659]"
308,7,28,"[28780, 28786, 28790, 28799, 28832, 28881, 28884, 28904, 28925, 28934, 28952, 28963, 28964, 28965, 28970, 28978, 28979, 28983, 28990, 28995, 29013, 29014, 29023, 29024, 29026, 29030, 29032, 29035, 29039, 29050, 29056, 29058, 29062, 29065, 29068, 29084, 29085, 29093, 29100, 29101, 29117, 29119, 29123, 29124, 29128, 29136, 29138, 29142, 29143, 29150, 29164, 29166, 29171, 29180, 29181, 29184, 29195, 29197, 29198, 29200, 29203, 29204, 29205, 29210, 29212, 29214, 29215, 29217, 29226, 29227, 29230, 29232]"
309,7,29,"[29366, 29367, 29390, 29396, 29525, 29558, 29599, 29666, 29705, 29750, 29751, 29752, 29758, 29805, 29856, 29857, 29872]"
310,7,30,"[29990, 30105, 30124, 30164, 30227, 30231, 30286, 30316, 30317, 30323, 30336, 30363, 30374, 30375, 30409, 30411, 30429, 30435, 30469, 30488]"
311,7,31,"[30631, 30692, 30708, 30712, 30724, 30725, 30743, 30841, 30854, 30879, 30896, 30924, 31021]"
312,7,32,"[31147, 31151, 31165, 31193, 31222, 31267, 31280, 31294, 31314, 31315, 31334, 31338, 31344, 31380, 31381, 31392, 31393, 31399, 31402, 31416, 31430, 31441, 31460, 31461, 31472, 31492, 31528, 31530, 31533, 31534, 31621, 31623, 31636, 31639]"
313,7,33,"[31770, 31771, 31888, 31963, 31983, 31984, 31996, 32007, 32011, 32012, 32035, 32064, 32077, 32093, 32114, 32130, 32134, 32150, 32201, 32214, 32234]"
314,7,34,"[32502, 32514, 32597, 32605, 32619, 32630, 32758, 32759, 32820, 32831, 32862, 32877, 32878, 32904]"
315,7,35,"[33067, 33125, 33128, 33137, 33138, 33141, 33180, 33235, 33236, 33364, 33365, 33412, 33413, 33450, 33466, 33531, 33538, 33549]"
316,7,36,"[33675, 33683, 33687, 33705, 33709, 33710, 33751, 33767, 33768, 33770, 33776, 33789, 33945, 33947, 34005]"
317,7,37,"[34290, 34321, 34366, 34472, 34502, 34642, 34694, 34698]"
318,7,38,"[34917, 34948, 34960, 34961, 34976, 34978, 34983, 34984, 35080, 35111, 35112, 35146, 35168, 35170, 35176, 35224, 35270, 35273, 35334, 35364, 35367]"
319,7,39,"[35498, 35499, 35501, 35520, 35546, 35640, 35663]"
320,8,0,[]
321,8,1,"[18, 46, 50, 63, 66, 94, 101, 109, 121, 133, 139, 152, 156, 160, 168, 176, 182, 194, 200, 224, 226, 235, 241, 242, 334, 383, 407, 414, 469, 508, 515, 558, 586, 603, 627, 634, 677, 689, 693, 709, 711, 714, 723, 729, 806, 818, 825, 844, 850, 851, 868, 886, 900, 905, 929, 947, 952, 968, 971, 979, 995, 1031, 1049, 1074, 1078, 1084, 1147, 1173, 1193, 1199, 1200, 1249, 1283, 1284, 1287, 1292, 1342, 1348, 1400, 1435, 1452, 1460, 1466, 1506, 1569, 1582, 1604, 1610, 1612, 1618, 1631, 1658, 1678, 1679, 1702, 1757, 1812, 1818, 1849, 1861, 1862, 1914, 1986, 1994, 2000, 2002, 2008, 2014, 2048, 2050, 2052, 2100, 2128, 2146, 2227, 2284, 2403, 2404, 2414, 2432, 2433, 2435, 2438, 2521, 2574, 2635, 2711, 2712, 2745, 2760, 2764, 2792, 2800, 2813, 2815, 2816, 2866, 2948, 2958, 2970, 3012, 3150, 3190, 3193, 3213, 3222, 3223, 3227, 3228, 3231, 3232, 3249, 3267, 3330, 3347, 3349, 3357, 3373, 3375, 3379, 3409, 3418, 3434, 3486, 3487, 3493, 3544, 3549, 3556, 3594, 3599, 3614, 3673, 3724, 3732, 3750, 3754, 3845, 3882, 3918, 3924, 3935, 3957, 3974, 4004, 4035, 4058, 4059, 4067, 4072, 4075, 4085, 4086, 4135, 4149, 4163, 4165, 4181, 4240, 4241, 4248, 4259, 4271, 4279, 4283, 4305, 4312, 4318, 4332, 4347, 4369, 4370, 4375, 4376, 4389, 4391, 4393, 4394, 4399, 4420, 4421, 4424, 4446, 4457, 4494, 4499, 4555, 4563, 4578, 4590, 4615, 4645, 4654, 4697, 4736, 4787, 4837, 4846, 4856, 4897, 4930, 4984, 5000, 5044, 5078, 5111, 5142, 5159, 5165, 5190, 5203, 5224, 5257, 5301, 5302, 5357, 5367, 5415, 5430, 5450, 5455, 5469, 5481, 5520, 5545, 5549, 5559, 5566, 5579, 5581, 5583, 5689, 5708, 5719, 5759, 5774, 5864, 5941, 5943, 5963, 5982, 6008, 6009, 6017, 6055, 6124, 6158, 6166, 6179, 6193, 6194, 6246, 6248, 6283, 6287, 6298, 6312, 6324, 6329, 6348, 6357, 6366, 6368, 6422, 6451, 6462, 6466, 6480, 6512, 6534, 6548, 6555, 6580, 6584, 6602, 6673, 6693, 6716, 6757, 6764, 6768, 6796, 6879, 6899, 6948, 7031, 7039, 7057, 7082, 7103, 7105, 7107, 7163, 7167, 7175, 7195, 7209, 7265, 7295, 7335, 7344, 7346, 7424, 7445, 7465, 7483, 7492, 7494, 7549, 7550, 7610, 7619, 7666, 7702, 7712, 7713]"
322,8,2,"[9290, 9297, 9299, 9326, 9335, 9366, 9373, 9382, 9406, 9415, 9524, 9592, 9598, 9614, 9642, 9679, 9706, 9712, 9726, 9740, 9751, 9752, 9768, 9785, 9792, 9814, 9817, 9826, 9849, 9857, 9858, 9875, 9879, 9888, 9943, 9971, 10005, 10030, 10031, 10061, 10064, 10069, 10113, 10142, 10159, 10171, 10228, 10230, 10252, 10253, 10284, 10296, 10301, 10344, 10345, 10385, 10386, 10387, 10405, 10424, 10450, 10456, 10458, 10474, 10482, 10484, 10508, 10518, 10523, 10540, 10559, 10561, 10574, 10586, 10619, 10632, 10644, 10651, 10667, 10736, 10754, 10769, 10884, 10989, 11021, 11130, 11131, 11139, 11141, 11150, 11191, 11218, 11220, 11222, 11225, 11229, 11232, 11233, 11237, 11239, 11241, 11248, 11255, 11259, 11264, 11269, 11305, 11313, 11381, 11393, 11395, 11442, 11452, 11456, 11457, 11458, 11479]"
323,8,3,"[11613, 11631, 11673, 11687, 11697, 11727, 11750, 11769, 11804, 11810, 11818, 11819, 11827, 11922, 11963, 12044, 12049]"
324,8,4,"[12221, 12236, 12237, 12298, 12315, 12335, 12357, 12367, 12370, 12397, 12400, 12423, 12527, 12603, 12632, 12635, 12636]"
325,8,5,"[12868, 12874, 12898, 12973, 13001, 13007, 13012, 13023, 13112, 13113, 13231, 13247, 13251, 13258, 13295]"
326,8,6,"[13424, 13428, 13488, 13496, 13499, 13517, 13536, 13537, 13574, 13597, 13649, 13667, 13688, 13711, 13739, 13743, 13767, 13819, 13824, 13834, 13865, 13868, 13869, 13881, 13886, 13889]"
327,8,7,"[14004, 14026, 14074, 14084, 14090, 14098, 14106, 14136, 14142, 14165, 14176, 14217, 14236, 14290, 14315, 14320, 14338, 14344, 14345, 14374, 14399, 14400, 14419, 14422, 14424, 14431, 14471, 14476, 14490, 14491, 14496]"
328,8,8,"[14617, 14642, 14650, 14660, 14699, 14706, 14734, 14766, 14773, 14781, 14804, 14809, 14820, 14829, 14830, 14833, 14837, 14838, 14840, 14841, 14842, 14843, 14844, 14845, 14850, 14851, 14852, 14855, 14856, 14865, 14873, 14962, 15001]"
329,8,9,"[15217, 15225, 15256, 15296, 15335, 15378, 15395, 15409, 15414, 15420, 15450, 15464, 15467, 15485, 15508, 15509, 15531, 15550, 15559, 15568, 15585, 15648, 15649, 15765, 15798]"
330,8,10,"[16046, 16065, 16068, 16072, 16075, 16080, 16096, 16127, 16141, 16168, 16169, 16183, 16184, 16237, 16277, 16298, 16323, 16337, 16360, 16363, 16369, 16377, 16386, 16392, 16395, 16404, 16452, 16455, 16459, 16467, 16470, 16507, 16509, 16537, 16555, 16606, 16611, 16644, 16649, 16652, 16687, 16692, 16700, 16751, 16752, 16758, 16766, 16771]"
331,8,11,"[16900, 16907, 16923, 16943, 16983, 17006, 17008, 17012, 17033, 17037, 17039, 17044, 17063, 17066, 17098, 17103, 17110, 17126, 17138, 17162, 17180, 17188, 17193, 17199, 17200, 17212, 17215, 17235, 17240, 17246, 17252, 17278, 17279, 17292, 17310, 17382, 17414]"
332,8,12,"[17578, 17602, 17628, 17637, 17651, 17656, 17685, 17695, 17700, 17746, 17775, 17777, 17814, 17821, 17835, 17845, 17856, 17906]"
333,8,13,"[18047, 18058, 18100, 18103, 18145, 18147, 18221, 18239, 18253, 18347, 18387, 18451, 18502, 18507, 18530, 18532, 18536, 18551]"
